timestamp,sensor_id,sensor_name,sensor_latitude,sensor_longitude,area_type,PM2.5,PM10,NO2,SO2,CO,O3,aqi,temperature_c,humidity_percent,pressure_hpa,wind_speed_ms,wind_direction_deg,weather_condition,road_edges,road_length_km,industrial_area,commercial_area,residential_area,green_space,building_density,hour,day_of_week,month,is_weekend,is_rush_hour,city
2025-09-30 10:08:36.680470,sensor_00,Pune_City_Center,18.5204,73.8567,urban,37.85,54.45,25.34,15.3,0.95,27.85,108.2,24.1,75,1011,2.8,226,Clouds,6378,436.79,5,25,36,68,10774,10,1,9,0,0,Delhi
2025-09-30 11:08:36.680470,sensor_00,Pune_City_Center,18.5204,73.8567,urban,31.44,72.31,17.07,11.19,1.41,58.11,89.8,24.1,75,1011,2.8,226,Clouds,6378,436.79,5,25,36,68,10774,11,1,9,0,0,Delhi
2025-09-30 12:08:36.680470,sensor_00,Pune_City_Center,18.5204,73.8567,urban,29.3,66.53,19.39,6.24,1.05,39.76,83.7,24.1,75,1011,2.8,226,Clouds,6378,436.79,5,25,36,68,10774,12,1,9,0,0,Delhi
2025-09-30 13:08:36.680470,sensor_00,Pune_City_Center,18.5204,73.8567,urban,20.39,41.05,19.75,11.25,0.81,42.1,58.3,24.1,75,1011,2.8,226,Clouds,6378,436.79,5,25,36,68,10774,13,1,9,0,0,Delhi
2025-09-30 14:08:36.680470,sensor_00,Pune_City_Center,18.5204,73.8567,urban,34.3,45.75,28.66,10.25,0.81,37.08,98.0,24.1,75,1011,2.8,226,Clouds,6378,436.79,5,25,36,68,10774,14,1,9,0,0,Delhi
2025-09-30 15:08:36.680470,sensor_00,Pune_City_Center,18.5204,73.8567,urban,30.59,67.79,25.42,8.61,1.34,32.59,87.4,24.1,75,1011,2.8,226,Clouds,6378,436.79,5,25,36,68,10774,15,1,9,0,0,Delhi
2025-09-30 16:08:36.680470,sensor_00,Pune_City_Center,18.5204,73.8567,urban,25.24,51.11,22.64,15.24,0.8,41.64,72.1,24.1,75,1011,2.8,226,Clouds,6378,436.79,5,25,36,68,10774,16,1,9,0,0,Delhi
2025-09-30 17:08:36.680470,sensor_00,Pune_City_Center,18.5204,73.8567,urban,36.87,81.33,24.5,8.32,1.47,31.08,105.3,24.1,75,1011,2.8,226,Clouds,6378,436.79,5,25,36,68,10774,17,1,9,0,1,Delhi
2025-09-30 18:08:36.680470,sensor_00,Pune_City_Center,18.5204,73.8567,urban,38.38,59.28,19.92,8.1,1.78,28.89,109.6,24.1,75,1011,2.8,226,Clouds,6378,436.79,5,25,36,68,10774,18,1,9,0,1,Delhi
2025-09-30 19:08:36.680470,sensor_00,Pune_City_Center,18.5204,73.8567,urban,39.61,60.05,40.21,10.41,1.0,30.04,113.2,24.1,75,1011,2.8,226,Clouds,6378,436.79,5,25,36,68,10774,19,1,9,0,1,Delhi
