timestamp,sensor_name,sensor_latitude,sensor_longitude,PM2.5,PM10,NO2,temperature_c,area_type
2025-09-30 10:08:36.680470,Pune_City_Center,18.5204,73.8567,37.85,54.45,25.34,24.1,urban
2025-09-30 11:08:36.680470,Pune_City_Center,18.5204,73.8567,31.44,72.31,17.07,24.1,urban
2025-09-30 12:08:36.680470,Pune_City_Center,18.5204,73.8567,29.3,66.53,19.39,24.1,urban
2025-09-30 13:08:36.680470,Pune_City_Center,18.5204,73.8567,20.39,41.05,19.75,24.1,urban
2025-09-30 14:08:36.680470,Pune_City_Center,18.5204,73.8567,34.3,45.75,28.66,24.1,urban
2025-09-30 15:08:36.680470,Pune_City_Center,18.5204,73.8567,30.59,67.79,25.42,24.1,urban
2025-09-30 16:08:36.680470,Pune_City_Center,18.5204,73.8567,25.24,51.11,22.64,24.1,urban
2025-09-30 17:08:36.680470,Pune_City_Center,18.5204,73.8567,36.87,81.33,24.5,24.1,urban
2025-09-30 18:08:36.680470,Pune_City_Center,18.5204,73.8567,38.38,59.28,19.92,24.1,urban
2025-09-30 19:08:36.680470,Pune_City_Center,18.5204,73.8567,39.61,60.05,40.21,24.1,urban
2025-09-30 20:08:36.680470,Pune_City_Center,18.5204,73.8567,24.26,34.39,18.11,24.1,urban
2025-09-30 21:08:36.680470,Pune_City_Center,18.5204,73.8567,46.63,61.91,16.97,24.1,urban
2025-09-30 22:08:36.680470,Pune_City_Center,18.5204,73.8567,27.8,43.54,21.32,24.1,urban
2025-09-30 23:08:36.680470,Pune_City_Center,18.5204,73.8567,23.15,51.16,26.98,24.1,urban
2025-10-01 00:08:36.680470,Pune_City_Center,18.5204,73.8567,22.53,68.9,31.67,24.1,urban
2025-10-01 01:08:36.680470,Pune_City_Center,18.5204,73.8567,31.99,43.39,20.94,24.1,urban
2025-10-01 02:08:36.680470,Pune_City_Center,18.5204,73.8567,38.57,43.9,25.82,24.1,urban
